20,1.8504e-3,3.7905e-2,7.7691e-1,1.5934e1,3.2697e2
21,1.1717e-3,2.5175e-2,5.4120e-1,1.1641e1,2.5052e2
22,7.4097e-4,1.6663e-2,3.7488e-1,8.4383e0,1.9004e2
23,4.6801e-4,1.0993e-2,2.5832e-1,6.0729e0,1.4284e2
24,2.9523e-4,7.2298e-3,1.7713e-1,4.3413e0,1.0645e2
25,1.8601e-4,4.7413e-3,1.2090e-1,3.0841e0,7.8703e1
26,1.1706e-4,3.1009e-3,8.2171e-2,2.1783e0,5.7764e1
27,7.3582e-5,2.0228e-3,5.5626e-2,1.5302e0,4.2107e1
28,4.6203e-5,1.3164e-3,3.7515e-2,1.0695e0,3.0499e1
29,2.8981e-5,8.5467e-4,2.5213e-2,7.4396e-1,2.1959e1
30,1.8161e-5,5.5373e-4,1.6889e-2,5.1521e-1,1.5722e1
31,1.1370e-5,3.5803e-4,1.1278e-2,3.5532e-1,1.1198e1
32,7.1111e-6,2.3105e-4,7.5087e-3,2.4408e-1,7.9360e0
33,4.4440e-6,1.4884e-4,4.9856e-3,1.6705e-1,5.5983e0
34,2.7749e-6,9.5708e-5,3.3018e-3,1.1393e-1,3.9320e0
35,1.7314e-6,6.1447e-5,2.1813e-3,7.7444e-2,2.7502e0
36,1.2653e-6,4.6264e-5,1.6920e-3,6.1890e-2,2.2643e0
37,1.0774e-6,4.0598e-5,1.5301e-3,5.7673e-2,2.1743e0
38,9.6748e-7,3.7519e-5,1.4552e-3,5.6442e-2,2.1895e0
39,9.0625e-7,3.6118e-5,1.4396e-3,5.7379e-2,2.2873e0
40,8.7541e-7,3.5809e-5,1.4649e-3,5.9928e-2,2.4518e0
41,8.6350e-7,3.6216e-5,1.5190e-3,6.3710e-2,2.6723e0
42,8.6340e-7,3.7095e-5,1.5938e-3,6.8474e-2,2.9420e0
43,8.6580e-7,3.7864e-5,1.6559e-3,7.2415e-2,3.1669e0
43.7491,8.6471e-7,3.8044e-5,1.6738e-3,7.3639e-2,3.2399e0
44,7.8629e-7,3.5371e-5,1.5912e-3,7.1577e-2,3.2200e0
45,5.0936e-7,2.3423e-5,1.0771e-3,4.9532e-2,2.2778e0
46,3.3115e-7,1.5559e-5,7.3106e-4,3.4350e-2,1.6140e0
47,2.1419e-7,1.0278e-5,4.9321e-4,2.3668e-2,1.1358e0
48,1.3860e-7,6.7893e-6,3.3259e-4,1.6293e-2,7.9814e-1
49,8.9567e-8,4.4773e-6,2.2381e-4,1.1188e-2,5.5925e-1
50,5.7809e-8,2.9476e-6,1.5030e-4,7.6632e-3,3.9074e-1
51,3.7311e-8,1.9398e-6,1.0085e-4,5.2428e-3,2.7257e-1
52,2.4000e-8,1.2718e-6,6.7387e-5,3.5708e-3,1.8922e-1
53,1.5436e-8,8.3334e-7,4.4992e-5,2.4291e-3,1.3115e-1
54,9.9166e-9,5.4531e-7,2.9987e-5,1.6490e-3,9.0677e-2
55,6.3657e-9,3.5642e-7,1.9956e-5,1.1174e-3,6.2561e-2
56,4.0817e-9,2.3262e-7,1.3257e-5,7.5552e-4,4.3058e-2
57,2.6139e-9,1.5159e-7,8.7904e-6,5.0977e-4,2.9562e-2
58,1.6862e-9,9.9466e-8,5.8676e-6,3.4614e-4,2.0420e-2
59,1.5766e-9,1.3377e-7,1.1357e-5,9.6446e-4,8.1931e-2
85,2.4408e-10,2.3188e-8,2.2029e-6,2.0927e-4,1.9881e-2
95,2.4920e-10,2.4920e-8,2.4920e-6,2.4920e-4,2.4920e-2
100,4.9060e-10,9.8120e-8,1.9624e-5,3.9248e-3,7.8496e-1
200,6.5447e-10,1.9634e-7,5.8902e-5,1.7671e-2,5.3012e0
300,8.3609e-10,3.3444e-7,1.3378e-4,5.3510e-2,2.1404e1
400,1.0200e-9,5.0996e-7,2.5498e-4,1.2749e-1,6.3745e1
500,1.2000e-9,7.1995e-7,4.3197e-4,2.5919e-1,1.5551e2
600,1.3923e-9,9.7459e-7,6.8221e-4,4.7755e-1,3.3429e2
700,1.5812e-9,1.2650e-6,1.0120e-3,8.0955e-1,6.4764e2
800,1.7704e-9,1.5934e-6,1.4341e-3,1.2907e0,1.1616e3
900,1.9599e-9,1.9599e-6,1.9599e-3,1.9599e0,1.9599e3
1000,2.9213e-9,4.3819e-6,6.5729e-3,9.8593e0,1.4789e4
1500,3.0989e-9,4.9582e-6,7.9331e-3,1.2693e1,2.0309e4
