1 ,  1 e10 , 1.00000e0 , 1.23228e0 , 3.96481e0 , 2.08282e1 , 1.51224e2 , 1.30475e3 
1e10 ,  2e10 , 1.63137 e-5 ,  3.77870 e-4 ,  8.75253e-3 , 2.02733e-1 , 4.69587e0 , 1.08770e2 
19\ 035\ 709\ 163 ,  2e10 , 1.13110 e-5 , 2.67726 e-4 , 6.33697 e-3 , 1.49993e-1 , 3.55028e0 , 8.40336e1 
 2e10 ,  3e10 ,  1.03687 e-5 ,  2.46002 e-4 ,  5.83648 e-3 ,  1.38472 e-1 ,  3.28531 e0 ,  7.79452 e1 
3e10 ,  4e10 ,  8.08543 e-6 ,  1.95082 e-4 ,  4.72265 e-3 ,  1.14540 e-1 ,  2.77796 e0 ,  6.73747 e1 
4e10 ,  5e10 ,  7.11201 e-6 ,  1.75016 e-4 ,  4.30688 e-3 ,  1.05986 e-1 ,  2.60815 e0 ,  6.41826 e1 
5e10 ,  6e10 ,  7.53086 e-6 ,  1.85559 e-4 ,  4.57216 e-3 ,  1.12657 e-1 ,  2.77586 e0 ,  6.83969 e1 
6e10 ,  7e10 ,  5.71466 e-6 ,  1.42491 e-4 ,  3.55293 e-3 ,  8.85900 e-2 ,  2.20893 e0 ,  5.50783 e1 
7e10 ,  8e10 ,  5.39050 e-6 ,  1.34922 e-4 ,  3.37702 e-3 ,  8.45253 e-2 ,  2.11563 e0 ,  5.29532 e1 
8e10 ,  9e10 ,  4.35507 e-6 ,  1.09446 e-4 ,  2.75045 e-3 ,  6.91859 e-2 ,  1.74250 e0 ,  4.38862 e1 
9e10 ,  10e10 ,  4.10662 e-6 ,  1.03589 e-4 ,  2.61301 e-3 ,  6.59129 e-2 ,  1.66264 e0 ,  4.19399 e1 
10e10 ,  11e10 ,  5.26105 e-6 ,  1.33752 e-4 ,  3.40037 e-3 ,  8.64475 e-2 ,  2.19775 e0 ,  5.58735 e1 
11e10 ,  12e10 ,  5.26640 e-6 ,  1.33915 e-4 ,  3.40521 e-3 ,  8.65882 e-2 ,  2.20178 e0 ,  5.59872 e1 
12e10 ,  13e10 ,  4.44681 e-6 ,  1.13461 e-4 ,  2.89497 e-3 ,  7.38655 e-2 ,  1.88469 e0 ,  4.80880 e1 
13e10 ,  14e10 ,  3.41846 e-6 ,  8.76906 e-5 ,  2.24945 e-3 ,  5.77030 e-2 ,  1.48020 e0 ,  3.79703 e1 
14e10 ,  15e10 ,  3.29978 e-6 ,  8.47568 e-5 ,  2.17703 e-3 ,  5.59181 e-2 ,  1.43629 e0 ,  3.68919 e1 
15e10 ,  16e10 ,  4.01405 e-6 ,  1.03396 e-4 ,  2.66335 e-3 ,  6.86042 e-2 ,  1.76715 e0 ,  4.55193 e1 
16e10 ,  17e10 ,  3.63233 e-6 ,  9.38449 e-5 ,  2.42458 e-3 ,  6.26413 e-2 ,  1.61840 e0 ,  4.18129 e1 
17e10 ,  18e10 ,  3.14570 e-6 ,  8.13474 e-5 ,  2.10363 e-3 ,  5.43995 e-2 ,  1.40676 e0 ,  3.63786 e1 
18e10 ,  19e10 ,  3.18303 e-6 ,  8.25980 e-5 ,  2.14337 e-3 ,  5.56193 e-2 ,  1.44329 e0 ,  3.74526 e1 
19e10 ,  20e10 ,  3.28073 e-6 ,  8.52255 e-5 ,  2.21396 e-3 ,  5.75133 e-2 ,  1.49406 e0 ,  3.88120 e1 
20e10 ,  21e10 ,  2.73340 e-6 ,  7.11770 e-5 ,  1.85343 e-3 ,  4.82627 e-2 ,  1.25675 e0 ,  3.27253 e1 
21e10 ,  22e10 ,  2.53668 e-6 ,  6.61874 e-5 ,  1.72697 e-3 ,  4.50604 e-2 ,  1.17572 e0 ,  3.06771 e1 
22e10 ,  23e10 ,  2.52342 e-6 ,  6.60155 e-5 ,  1.72704 e-3 ,  4.51814 e-2 ,  1.18200 e0 ,  3.09224 e1 
23e10 ,  24e10 ,  3.00664 e-6 ,  7.86826 e-5 ,  2.05910 e-3 ,  5.38859 e-2 ,  1.41018 e0 ,  3.69038 e1 
24e10 ,  25e10 ,  2.52843 e-6 ,  6.63579 e-5 ,  1.74154 e-3 ,  4.57060 e-2 ,  1.19954 e0 ,  3.14814 e1 
25e10 ,  26e10 ,  2.70299 e-6 ,  7.10356 e-5 ,  1.86684 e-3 ,  4.90612 e-2 ,  1.28934 e0 ,  3.38844 e1 
