$1$,$1\cdot10^{10}$,$1.00000\cdot10^{0}$,$1.23228\cdot10^{0}$,$3.96481\cdot10^{0}$,$2.08282\cdot10^{1}$,$1.51224\cdot10^{2}$,$1.30475\cdot10^{3}$
$24\cdot10^{10}$,$25\cdot10^{10}$,$2.52843\cdot10^{-6}$,$6.63579\cdot10^{-5}$,$1.74154\cdot10^{-3}$,$4.57060\cdot10^{-2}$,$1.19954\cdot10^{0}$,$3.14814\cdot10^{1}$
$25\cdot10^{10}$,$26\cdot10^{10}$,$2.70299\cdot10^{-6}$,$7.10356\cdot10^{-5}$,$1.86684\cdot10^{-3}$,$4.90612\cdot10^{-2}$,$1.28934\cdot10^{0}$,$3.38844\cdot10^{1}$
$26\cdot10^{10}$,$27\cdot10^{10}$,$2.86910\cdot10^{-6}$,$7.55027\cdot10^{-5}$,$1.98691\cdot10^{-3}$,$5.22873\cdot10^{-2}$,$1.37598\cdot10^{0}$,$3.62101\cdot10^{1}$
$27\cdot10^{10}$,$28\cdot10^{10}$,$2.43132\cdot10^{-6}$,$6.40002\cdot10^{-5}$,$1.68469\cdot10^{-3}$,$4.43466\cdot10^{-2}$,$1.16735\cdot10^{0}$,$3.07283\cdot10^{1}$
$28\cdot10^{10}$,$29\cdot10^{10}$,$2.73706\cdot10^{-6}$,$7.22351\cdot10^{-5}$,$1.90640\cdot10^{-3}$,$5.03127\cdot10^{-2}$,$1.32783\cdot10^{0}$,$3.50434\cdot10^{1}$
$29\cdot10^{10}$,$30\cdot10^{10}$,$2.59106\cdot10^{-6}$,$6.84089\cdot10^{-5}$,$1.80613\cdot10^{-3}$,$4.76853\cdot10^{-2}$,$1.25898\cdot10^{0}$,$3.32396\cdot10^{1}$
$30\cdot10^{10}$,$31\cdot10^{10}$,$2.41963\cdot10^{-6}$,$6.39936\cdot10^{-5}$,$1.69249\cdot10^{-3}$,$4.47624\cdot10^{-2}$,$1.18386\cdot10^{0}$,$3.13105\cdot10^{1}$
$31\cdot10^{10}$,$32\cdot10^{10}$,$2.21245\cdot10^{-6}$,$5.85673\cdot10^{-5}$,$1.55038\cdot10^{-3}$,$4.10412\cdot10^{-2}$,$1.08643\cdot10^{0}$,$2.87598\cdot10^{1}$
$32\cdot10^{10}$,$33\cdot10^{10}$,$1.72269\cdot10^{-6}$,$4.56367\cdot10^{-5}$,$1.20899\cdot10^{-3}$,$3.20280\cdot10^{-2}$,$8.48474\cdot10^{-1}$,$2.24774\cdot10^{1}$
$33\cdot10^{10}$,$34\cdot10^{10}$,$1.46360\cdot10^{-6}$,$3.88604\cdot10^{-5}$,$1.03180\cdot10^{-3}$,$2.73956\cdot10^{-2}$,$7.27389\cdot10^{-1}$,$1.93132\cdot10^{1}$
$34\cdot10^{10}$,$35\cdot10^{10}$,$1.91975\cdot10^{-6}$,$5.10043\cdot10^{-5}$,$1.35510\cdot10^{-3}$,$3.60025\cdot10^{-2}$,$9.56524\cdot10^{-1}$,$2.54132\cdot10^{1}$
$35\cdot10^{10}$,$36\cdot10^{10}$,$1.91465\cdot10^{-6}$,$5.09395\cdot10^{-5}$,$1.35525\cdot10^{-3}$,$3.60567\cdot10^{-2}$,$9.59293\cdot10^{-1}$,$2.55221\cdot10^{1}$
$36\cdot10^{10}$,$37\cdot10^{10}$,$2.19313\cdot10^{-6}$,$5.83927\cdot10^{-5}$,$1.55472\cdot10^{-3}$,$4.13951\cdot10^{-2}$,$1.10216\cdot10^{0}$,$2.93453\cdot10^{1}$
$37\cdot10^{10}$,$38\cdot10^{10}$,$2.05932\cdot10^{-6}$,$5.48858\cdot10^{-5}$,$1.46284\cdot10^{-3}$,$3.89883\cdot10^{-2}$,$1.03913\cdot10^{0}$,$2.76954\cdot10^{1}$
$38\cdot10^{10}$,$39\cdot10^{10}$,$2.29636\cdot10^{-6}$,$6.12815\cdot10^{-5}$,$1.63538\cdot10^{-3}$,$4.36424\cdot10^{-2}$,$1.16466\cdot10^{0}$,$3.10805\cdot10^{1}$
$39\cdot10^{10}$,$40\cdot10^{10}$,$2.32437\cdot10^{-6}$,$6.20941\cdot10^{-5}$,$1.65880\cdot10^{-3}$,$4.43139\cdot10^{-2}$,$1.18382\cdot10^{0}$,$3.16250\cdot10^{1}$
$40\cdot10^{10}$,$41\cdot10^{10}$,$2.62662\cdot10^{-6}$,$7.01926\cdot10^{-5}$,$1.87579\cdot10^{-3}$,$5.01279\cdot10^{-2}$,$1.33959\cdot10^{0}$,$3.57987\cdot10^{1}$
$41\cdot10^{10}$,$42\cdot10^{10}$,$2.18274\cdot10^{-6}$,$5.83701\cdot10^{-5}$,$1.56091\cdot10^{-3}$,$4.17413\cdot10^{-2}$,$1.11623\cdot10^{0}$,$2.98498\cdot10^{1}$
$42\cdot10^{10}$,$43\cdot10^{10}$,$2.11475\cdot10^{-6}$,$5.66141\cdot10^{-5}$,$1.51562\cdot10^{-3}$,$4.05749\cdot10^{-2}$,$1.08624\cdot10^{0}$,$2.90798\cdot10^{1}$
$43\cdot10^{10}$,$44\cdot10^{10}$,$1.83951\cdot10^{-6}$,$4.92751\cdot10^{-5}$,$1.31993\cdot10^{-3}$,$3.53572\cdot10^{-2}$,$9.47114\cdot10^{-1}$,$2.53704\cdot10^{1}$
$44\cdot10^{10}$,$45\cdot10^{10}$,$1.66382\cdot10^{-6}$,$4.46343\cdot10^{-5}$,$1.19737\cdot10^{-3}$,$3.21211\cdot10^{-2}$,$8.61691\cdot10^{-1}$,$2.31160\cdot10^{1}$
$45\cdot10^{10}$,$46\cdot10^{10}$,$1.64139\cdot10^{-6}$,$4.40693\cdot10^{-5}$,$1.18320\cdot10^{-3}$,$3.17676\cdot10^{-2}$,$8.52919\cdot10^{-1}$,$2.28998\cdot10^{1}$
$46\cdot10^{10}$,$47\cdot10^{10}$,$1.71266\cdot10^{-6}$,$4.60159\cdot10^{-5}$,$1.23636\cdot10^{-3}$,$3.32186\cdot10^{-2}$,$8.92519\cdot10^{-1}$,$2.39803\cdot10^{1}$
$47\cdot10^{10}$,$48\cdot10^{10}$,$1.87687\cdot10^{-6}$,$5.04822\cdot10^{-5}$,$1.35782\cdot10^{-3}$,$3.65213\cdot10^{-2}$,$9.82313\cdot10^{-1}$,$2.64213\cdot10^{1}$
$48\cdot10^{10}$,$49\cdot10^{10}$,$1.87852\cdot10^{-6}$,$5.05266\cdot10^{-5}$,$1.35902\cdot10^{-3}$,$3.65535\cdot10^{-2}$,$9.83182\cdot10^{-1}$,$2.64447\cdot10^{1}$
$49\cdot10^{10}$,$50\cdot10^{10}$,$1.88896\cdot10^{-6}$,$5.08825\cdot10^{-5}$,$1.37061\cdot10^{-3}$,$3.69198\cdot10^{-2}$,$9.94501\cdot10^{-1}$,$2.67886\cdot10^{1}$
$50\cdot10^{10}$,$51\cdot10^{10}$,$1.89356\cdot10^{-6}$,$5.10206\cdot10^{-5}$,$1.37472\cdot10^{-3}$,$3.70409\cdot10^{-2}$,$9.98044\cdot10^{-1}$,$2.68917\cdot10^{1}$
$51\cdot10^{10}$,$52\cdot10^{10}$,$1.80664\cdot10^{-6}$,$4.87131\cdot10^{-5}$,$1.31347\cdot10^{-3}$,$3.54157\cdot10^{-2}$,$9.54927\cdot10^{-1}$,$2.57481\cdot10^{1}$
$52\cdot10^{10}$,$53\cdot10^{10}$,$1.74704\cdot10^{-6}$,$4.71470\cdot10^{-5}$,$1.27235\cdot10^{-3}$,$3.43367\cdot10^{-2}$,$9.26639\cdot10^{-1}$,$2.50071\cdot10^{1}$
$53\cdot10^{10}$,$54\cdot10^{10}$,$1.39274\cdot10^{-6}$,$3.75997\cdot10^{-5}$,$1.01507\cdot10^{-3}$,$2.74038\cdot10^{-2}$,$7.39818\cdot10^{-1}$,$1.99728\cdot10^{1}$
$54\cdot10^{10}$,$55\cdot10^{10}$,$1.25296\cdot10^{-6}$,$3.38714\cdot10^{-5}$,$9.15650\cdot10^{-4}$,$2.47529\cdot10^{-2}$,$6.69150\cdot10^{-1}$,$1.80892\cdot10^{1}$
$55\cdot10^{10}$,$56\cdot10^{10}$,$1.30633\cdot10^{-6}$,$3.53272\cdot10^{-5}$,$9.55357\cdot10^{-4}$,$2.58358\cdot10^{-2}$,$6.98680\cdot10^{-1}$,$1.88944\cdot10^{1}$
$56\cdot10^{10}$,$57\cdot10^{10}$,$1.22171\cdot10^{-6}$,$3.30680\cdot10^{-5}$,$8.95046\cdot10^{-4}$,$2.42261\cdot10^{-2}$,$6.55724\cdot10^{-1}$,$1.77484\cdot10^{1}$
$57\cdot10^{10}$,$58\cdot10^{10}$,$1.40190\cdot10^{-6}$,$3.79535\cdot10^{-5}$,$1.02751\cdot10^{-3}$,$2.78179\cdot10^{-2}$,$7.53112\cdot10^{-1}$,$2.03890\cdot10^{1}$
$58\cdot10^{10}$,$59\cdot10^{10}$,$1.69730\cdot10^{-6}$,$4.59964\cdot10^{-5}$,$1.24649\cdot10^{-3}$,$3.37795\cdot10^{-2}$,$9.15416\cdot10^{-1}$,$2.48075\cdot10^{1}$
$59\cdot10^{10}$,$60\cdot10^{10}$,$1.62157\cdot10^{-6}$,$4.39642\cdot10^{-5}$,$1.19197\cdot10^{-3}$,$3.23168\cdot10^{-2}$,$8.76180\cdot10^{-1}$,$2.37551\cdot10^{1}$
$60\cdot10^{10}$,$61\cdot10^{10}$,$1.52488\cdot10^{-6}$,$4.13767\cdot10^{-5}$,$1.12274\cdot10^{-3}$,$3.04648\cdot10^{-2}$,$8.26646\cdot10^{-1}$,$2.24306\cdot10^{1}$
$61\cdot10^{10}$,$62\cdot10^{10}$,$1.60364\cdot10^{-6}$,$4.35194\cdot10^{-5}$,$1.18102\cdot10^{-3}$,$3.20503\cdot10^{-2}$,$8.69773\cdot10^{-1}$,$2.36037\cdot10^{1}$
$62\cdot10^{10}$,$63\cdot10^{10}$,$1.71497\cdot10^{-6}$,$4.65765\cdot10^{-5}$,$1.26496\cdot10^{-3}$,$3.43547\cdot10^{-2}$,$9.33031\cdot10^{-1}$,$2.53400\cdot10^{1}$
$63\cdot10^{10}$,$64\cdot10^{10}$,$1.69670\cdot10^{-6}$,$4.61014\cdot10^{-5}$,$1.25263\cdot10^{-3}$,$3.40354\cdot10^{-2}$,$9.24780\cdot10^{-1}$,$2.51274\cdot10^{1}$
$64\cdot10^{10}$,$65\cdot10^{10}$,$1.59469\cdot10^{-6}$,$4.33521\cdot10^{-5}$,$1.17854\cdot10^{-3}$,$3.20389\cdot10^{-2}$,$8.70987\cdot10^{-1}$,$2.36780\cdot10^{1}$
$65\cdot10^{10}$,$66\cdot10^{10}$,$1.65110\cdot10^{-6}$,$4.49346\cdot10^{-5}$,$1.22289\cdot10^{-3}$,$3.32810\cdot10^{-2}$,$9.05741\cdot10^{-1}$,$2.46497\cdot10^{1}$
$66\cdot10^{10}$,$67\cdot10^{10}$,$1.66910\cdot10^{-6}$,$4.54282\cdot10^{-5}$,$1.23643\cdot10^{-3}$,$3.36521\cdot10^{-2}$,$9.15915\cdot10^{-1}$,$2.49286\cdot10^{1}$
$67\cdot10^{10}$,$68\cdot10^{10}$,$1.57358\cdot10^{-6}$,$4.28513\cdot10^{-5}$,$1.16692\cdot10^{-3}$,$3.17773\cdot10^{-2}$,$8.65354\cdot10^{-1}$,$2.35652\cdot10^{1}$
$68\cdot10^{10}$,$69\cdot10^{10}$,$1.75478\cdot10^{-6}$,$4.78305\cdot10^{-5}$,$1.30373\cdot10^{-3}$,$3.55359\cdot10^{-2}$,$9.68610\cdot10^{-1}$,$2.64016\cdot10^{1}$
$69\cdot10^{10}$,$70\cdot10^{10}$,$1.57476\cdot10^{-6}$,$4.29284\cdot10^{-5}$,$1.17024\cdot10^{-3}$,$3.19011\cdot10^{-2}$,$8.69631\cdot10^{-1}$,$2.37064\cdot10^{1}$
