$3375$,$2.05940\cdot10^{-13}$
$3400$,$1.95408\cdot10^{-13}$
$3425$,$1.85414\cdot10^{-13}$
$3450$,$1.75933\cdot10^{-13}$
$3475$,$1.66937\cdot10^{-13}$
$3500$,$1.58401\cdot10^{-13}$
$3525$,$1.50303\cdot10^{-13}$
$3550$,$1.42618\cdot10^{-13}$
$3575$,$1.35328\cdot10^{-13}$
$3600$,$1.28410\cdot10^{-13}$
$3625$,$1.21846\cdot10^{-13}$
$3650$,$1.15618\cdot10^{-13}$
$3675$,$1.09709\cdot10^{-13}$
$3700$,$1.04102\cdot10^{-13}$
$3725$,$9.87820\cdot10^{-14}$
$3750$,$9.37342\cdot10^{-14}$
$3775$,$8.89445\cdot10^{-14}$
$3800$,$8.43999\cdot10^{-14}$
$3825$,$8.00876\cdot10^{-14}$
$3850$,$7.59960\cdot10^{-14}$
$3875$,$7.21136\cdot10^{-14}$
$3900$,$6.84297\cdot10^{-14}$
$3925$,$6.49341\cdot10^{-14}$
$3950$,$6.16174\cdot10^{-14}$
$3975$,$5.84702\cdot10^{-14}$
$4000$,$5.54838\cdot10^{-14}$
$4025$,$5.26502\cdot10^{-14}$
$4050$,$4.99614\cdot10^{-14}$
$4075$,$4.70327\cdot10^{-14}$
$4100$,$4.39027\cdot10^{-14}$
$4125$,$4.10103\cdot10^{-14}$
$4150$,$3.83360\cdot10^{-14}$
$4175$,$3.58617\cdot10^{-14}$
$4200$,$3.35711\cdot10^{-14}$
$4225$,$3.14488\cdot10^{-14}$
$4250$,$2.94811\cdot10^{-14}$
$4275$,$2.76554\cdot10^{-14}$
$4300$,$2.59600\cdot10^{-14}$
$4325$,$2.43842\cdot10^{-14}$
$4350$,$2.29185\cdot10^{-14}$
$4375$,$2.15539\cdot10^{-14}$
$4400$,$2.02824\cdot10^{-14}$
$4425$,$1.90965\cdot10^{-14}$
$4450$,$1.79895\cdot10^{-14}$
$4475$,$1.69553\cdot10^{-14}$
$4500$,$1.59884\cdot10^{-14}$
$4525$,$1.50834\cdot10^{-14}$
$4550$,$1.42358\cdot10^{-14}$
$4575$,$1.34413\cdot10^{-14}$
$4600$,$1.26961\cdot10^{-14}$
$4625$,$1.19964\cdot10^{-14}$
$4650$,$1.13391\cdot10^{-14}$
$4675$,$1.07211\cdot10^{-14}$
$4700$,$1.01399\cdot10^{-14}$
$4725$,$9.59267\cdot10^{-15}$
$4750$,$9.07732\cdot10^{-15}$
$4775$,$8.59180\cdot10^{-15}$
$4800$,$8.13391\cdot10^{-15}$
$4825$,$7.70189\cdot10^{-15}$
$4850$,$7.29421\cdot10^{-15}$
$4875$,$6.90927\cdot10^{-15}$
$4900$,$6.54572\cdot10^{-15}$
$4925$,$6.20221\cdot10^{-15}$
$4950$,$5.87752\cdot10^{-15}$
$4975$,$5.57051\cdot10^{-15}$
$5000$,$5.28013\cdot10^{-15}$
$5025$,$5.00542\cdot10^{-15}$
$5050$,$4.74546\cdot10^{-15}$
$5075$,$4.49940\cdot10^{-15}$
$5100$,$4.26644\cdot10^{-15}$
$5125$,$4.04584\cdot10^{-15}$
$5150$,$3.83692\cdot10^{-15}$
$5175$,$3.63900\cdot10^{-15}$
$5200$,$3.45150\cdot10^{-15}$
$5225$,$3.27383\cdot10^{-15}$
$5250$,$3.10546\cdot10^{-15}$
$5275$,$2.94588\cdot10^{-15}$
$5300$,$2.79461\cdot10^{-15}$
$5400$,$2.26410\cdot10^{-15}$
$5500$,$1.83510\cdot10^{-15}$
$5600$,$1.48785\cdot10^{-15}$
$5700$,$1.20657\cdot10^{-15}$
$5800$,$9.78645\cdot10^{-16}$
$5900$,$7.93857\cdot10^{-16}$
$6000$,$6.44031\cdot10^{-16}$
$6100$,$5.22522\cdot10^{-16}$
$6200$,$4.23967\cdot10^{-16}$
$6300$,$3.44021\cdot10^{-16}$
$6400$,$2.79164\cdot10^{-16}$
$6500$,$2.26545\cdot10^{-16}$
$6600$,$1.83853\cdot10^{-16}$
$6700$,$1.49213\cdot10^{-16}$
$6800$,$1.21105\cdot10^{-16}$
$6900$,$9.82951\cdot10^{-17}$
$7000$,$7.97865\cdot10^{-17}$
$7100$,$6.47653\cdot10^{-17}$
$7200$,$5.25734\cdot10^{-17}$
$7300$,$4.26793\cdot10^{-17}$
$7400$,$3.46489\cdot10^{-17}$
$7500$,$2.81308\cdot10^{-17}$
$7600$,$2.28401\cdot10^{-17}$
$7700$,$1.85454\cdot10^{-17}$
$7800$,$1.50590\cdot10^{-17}$
$7900$,$1.22287\cdot10^{-17}$
$8000$,$9.93106\cdot10^{-18}$
$8100$,$8.06556\cdot10^{-18}$
$8200$,$6.55082\cdot10^{-18}$
$8300$,$5.32082\cdot10^{-18}$
$8400$,$4.32211\cdot10^{-18}$
$8500$,$3.51110\cdot10^{-18}$
$8600$,$2.85248\cdot10^{-18}$
$8700$,$2.31756\cdot10^{-18}$
$8800$,$1.88311\cdot10^{-18}$
$8900$,$1.53021\cdot10^{-18}$
$9000$,$1.24356\cdot10^{-18}$
$9100$,$1.01069\cdot10^{-18}$
$9200$,$8.21507\cdot10^{-19}$
$9300$,$6.67779\cdot10^{-19}$
$9400$,$5.42879\cdot10^{-19}$
$9500$,$4.41385\cdot10^{-19}$
$9600$,$3.58903\cdot10^{-19}$
$9700$,$2.91866\cdot10^{-19}$
$9800$,$2.37378\cdot10^{-19}$
$9900$,$1.93085\cdot10^{-19}$
$10000$,$1.57077\cdot10^{-19}$
$13900$,$6.03125\cdot10^{-23}$
