$b$ ,$\varepsilon(b)$
2025 ,1.92247 e-12  
2050 ,1.92216 e-12  
2075 ,1.92186 e-12  
2100 ,1.92156 e-12  
2125 ,1.92128 e-12  
2150 ,1.92100 e-12  
2175 ,1.92072 e-12  
2200 ,1.92046 e-12  
2225 ,1.92019 e-12  
2250 ,1.91994 e-12  
2275 ,1.91969 e-12  
2300 ,1.91944 e-12  
2325 ,1.87499 e-12  
2350 ,1.77873 e-12  
2375 ,1.68743 e-12  
2400 ,1.60083 e-12  
2425 ,1.51868 e-12  
2450 ,1.44075 e-12  
2475 ,1.36683 e-12  
2500 ,1.29671 e-12  
2525 ,1.23020 e-12  
2550 ,1.16711 e-12  
2575 ,1.10726 e-12  
2600 ,1.05048 e-12  
2625 ,9.96618 e-13  
2650 ,9.45524 e-13  
2675 ,8.97065 e-13  
2700 ,8.51091 e-13  
2725 ,8.07466 e-13  
2750 ,7.66079 e-13  
2775 ,7.26824 e-13  
2800 ,6.89584 e-13  
2825 ,6.54255 e-13  
2850 ,6.20739 e-13  
2875 ,5.88943 e-13  
2900 ,5.58778 e-13  
2925 ,5.30161 e-13  
2950 ,5.03011 e-13  
2975 ,4.77254 e-13  
3000 ,4.52818 e-13  
3025 ,4.29635 e-13  
3050 ,4.07640 e-13  
3075 ,3.86773 e-13  
3100 ,3.66976 e-13  
3125 ,3.48193 e-13  
3150 ,3.30374 e-13  
3175 ,3.13467 e-13  
3200 ,2.97427 e-13  
3225 ,2.82208 e-13  
3250 ,2.67769 e-13  
3275 ,2.54070 e-13  
3300 ,2.41073 e-13  
3325 ,2.28741 e-13  
3350 ,2.17041 e-13  
3375 ,2.05940 e-13  
3400 ,1.95408 e-13  
3425 ,1.85414 e-13  
3450 ,1.75933 e-13  
3475 ,1.66937 e-13  
3500 ,1.58401 e-13  
3525 ,1.50303 e-13  
3550 ,1.42618 e-13  
3575 ,1.35328 e-13  
3600 ,1.28410 e-13  
3625 ,1.21846 e-13  
3650 ,1.15618 e-13  
3675 ,1.09709 e-13  
3700 ,1.04102 e-13  
3725 ,9.87820 e-14  
3750 ,9.37342 e-14  
3775 ,8.89445 e-14  
3800 ,8.43999 e-14  
3825 ,8.00876 e-14  
3850 ,7.59960 e-14  
3875 ,7.21136 e-14  
3900 ,6.84297 e-14  
3925 ,6.49341 e-14  
3950 ,6.16174 e-14  
3975 ,5.84702 e-14  
4000 ,5.54838 e-14  
4025 ,5.26502 e-14  
4050 ,4.99614 e-14  
4075 ,4.70327 e-14  
4100 ,4.39027 e-14  
4125 ,4.10103 e-14  
4150 ,3.83360 e-14  
4175 ,3.58617 e-14  
4200 ,3.35711 e-14  
4225 ,3.14488 e-14  
4250 ,2.94811 e-14  
4275 ,2.76554 e-14  
4300 ,2.59600 e-14  
4325 ,2.43842 e-14  
4350 ,2.29185 e-14  
4375 ,2.15539 e-14  
4400 ,2.02824 e-14  
4425 ,1.90965 e-14  
4450 ,1.79895 e-14  
4475 ,1.69553 e-14  
4500 ,1.59884 e-14  
4525 ,1.50834 e-14  
4550 ,1.42358 e-14  
4575 ,1.34413 e-14  
4600 ,1.26961 e-14  
4625 ,1.19964 e-14  
4650 ,1.13391 e-14  
4675 ,1.07211 e-14  
4700 ,1.01399 e-14  
4725 ,9.59267 e-15  
4750 ,9.07732 e-15  
4775 ,8.59180 e-15  
4800 ,8.13391 e-15  
4825 ,7.70189 e-15  
4850 ,7.29421 e-15  
4875 ,6.90927 e-15  
4900 ,6.54572 e-15  
4925 ,6.20221 e-15  
4950 ,5.87752 e-15  
4975 ,5.57051 e-15  
