$20$,$1.8504\cdot10^{-3}$,$3.7905\cdot10^{-2}$,$7.7691\cdot10^{-1}$,$1.5934\cdot10^{1}$,$3.2697\cdot10^{2}$
$21$,$1.1717\cdot10^{-3}$,$2.5175\cdot10^{-2}$,$5.4120\cdot10^{-1}$,$1.1641\cdot10^{1}$,$2.5052\cdot10^{2}$
$22$,$7.4097\cdot10^{-4}$,$1.6663\cdot10^{-2}$,$3.7488\cdot10^{-1}$,$8.4383\cdot10^{0}$,$1.9004\cdot10^{2}$
$23$,$4.6801\cdot10^{-4}$,$1.0993\cdot10^{-2}$,$2.5832\cdot10^{-1}$,$6.0729\cdot10^{0}$,$1.4284\cdot10^{2}$
$24$,$2.9523\cdot10^{-4}$,$7.2298\cdot10^{-3}$,$1.7713\cdot10^{-1}$,$4.3413\cdot10^{0}$,$1.0645\cdot10^{2}$
$25$,$1.8601\cdot10^{-4}$,$4.7413\cdot10^{-3}$,$1.2090\cdot10^{-1}$,$3.0841\cdot10^{0}$,$7.8703\cdot10^{1}$
$26$,$1.1706\cdot10^{-4}$,$3.1009\cdot10^{-3}$,$8.2171\cdot10^{-2}$,$2.1783\cdot10^{0}$,$5.7764\cdot10^{1}$
$27$,$7.3582\cdot10^{-5}$,$2.0228\cdot10^{-3}$,$5.5626\cdot10^{-2}$,$1.5302\cdot10^{0}$,$4.2107\cdot10^{1}$
$28$,$4.6203\cdot10^{-5}$,$1.3164\cdot10^{-3}$,$3.7515\cdot10^{-2}$,$1.0695\cdot10^{0}$,$3.0499\cdot10^{1}$
$29$,$2.8981\cdot10^{-5}$,$8.5467\cdot10^{-4}$,$2.5213\cdot10^{-2}$,$7.4396\cdot10^{-1}$,$2.1959\cdot10^{1}$
$30$,$1.8161\cdot10^{-5}$,$5.5373\cdot10^{-4}$,$1.6889\cdot10^{-2}$,$5.1521\cdot10^{-1}$,$1.5722\cdot10^{1}$
$31$,$1.1370\cdot10^{-5}$,$3.5803\cdot10^{-4}$,$1.1278\cdot10^{-2}$,$3.5532\cdot10^{-1}$,$1.1198\cdot10^{1}$
$32$,$7.1111\cdot10^{-6}$,$2.3105\cdot10^{-4}$,$7.5087\cdot10^{-3}$,$2.4408\cdot10^{-1}$,$7.9360\cdot10^{0}$
$33$,$4.4440\cdot10^{-6}$,$1.4884\cdot10^{-4}$,$4.9856\cdot10^{-3}$,$1.6705\cdot10^{-1}$,$5.5983\cdot10^{0}$
$34$,$2.7749\cdot10^{-6}$,$9.5708\cdot10^{-5}$,$3.3018\cdot10^{-3}$,$1.1393\cdot10^{-1}$,$3.9320\cdot10^{0}$
$35$,$1.7314\cdot10^{-6}$,$6.1447\cdot10^{-5}$,$2.1813\cdot10^{-3}$,$7.7444\cdot10^{-2}$,$2.7502\cdot10^{0}$
$36$,$1.2653\cdot10^{-6}$,$4.6264\cdot10^{-5}$,$1.6920\cdot10^{-3}$,$6.1890\cdot10^{-2}$,$2.2643\cdot10^{0}$
$37$,$1.0774\cdot10^{-6}$,$4.0598\cdot10^{-5}$,$1.5301\cdot10^{-3}$,$5.7673\cdot10^{-2}$,$2.1743\cdot10^{0}$
$38$,$9.6748\cdot10^{-7}$,$3.7519\cdot10^{-5}$,$1.4552\cdot10^{-3}$,$5.6442\cdot10^{-2}$,$2.1895\cdot10^{0}$
$39$,$9.0625\cdot10^{-7}$,$3.6118\cdot10^{-5}$,$1.4396\cdot10^{-3}$,$5.7379\cdot10^{-2}$,$2.2873\cdot10^{0}$
$40$,$8.7541\cdot10^{-7}$,$3.5809\cdot10^{-5}$,$1.4649\cdot10^{-3}$,$5.9928\cdot10^{-2}$,$2.4518\cdot10^{0}$
$41$,$8.6350\cdot10^{-7}$,$3.6216\cdot10^{-5}$,$1.5190\cdot10^{-3}$,$6.3710\cdot10^{-2}$,$2.6723\cdot10^{0}$
$42$,$8.6340\cdot10^{-7}$,$3.7095\cdot10^{-5}$,$1.5938\cdot10^{-3}$,$6.8474\cdot10^{-2}$,$2.9420\cdot10^{0}$
$43$,$8.6580\cdot10^{-7}$,$3.7864\cdot10^{-5}$,$1.6559\cdot10^{-3}$,$7.2415\cdot10^{-2}$,$3.1669\cdot10^{0}$
$19\log 10$,$8.6471\cdot10^{-7}$,$3.8044\cdot10^{-5}$,$1.6738\cdot10^{-3}$,$7.3639\cdot10^{-2}$,$3.2399\cdot10^{0}$
$44$,$7.8629\cdot10^{-7}$,$3.5371\cdot10^{-5}$,$1.5912\cdot10^{-3}$,$7.1577\cdot10^{-2}$,$3.2200\cdot10^{0}$
$45$,$5.0936\cdot10^{-7}$,$2.3423\cdot10^{-5}$,$1.0771\cdot10^{-3}$,$4.9532\cdot10^{-2}$,$2.2778\cdot10^{0}$
$46$,$3.3115\cdot10^{-7}$,$1.5559\cdot10^{-5}$,$7.3106\cdot10^{-4}$,$3.4350\cdot10^{-2}$,$1.6140\cdot10^{0}$
$47$,$2.1419\cdot10^{-7}$,$1.0278\cdot10^{-5}$,$4.9321\cdot10^{-4}$,$2.3668\cdot10^{-2}$,$1.1358\cdot10^{0}$
$48$,$1.3860\cdot10^{-7}$,$6.7893\cdot10^{-6}$,$3.3259\cdot10^{-4}$,$1.6293\cdot10^{-2}$,$7.9814\cdot10^{-1}$
$49$,$8.9567\cdot10^{-8}$,$4.4773\cdot10^{-6}$,$2.2381\cdot10^{-4}$,$1.1188\cdot10^{-2}$,$5.5925\cdot10^{-1}$
$50$,$5.7809\cdot10^{-8}$,$2.9476\cdot10^{-6}$,$1.5030\cdot10^{-4}$,$7.6632\cdot10^{-3}$,$3.9074\cdot10^{-1}$
$51$,$3.7311\cdot10^{-8}$,$1.9398\cdot10^{-6}$,$1.0085\cdot10^{-4}$,$5.2428\cdot10^{-3}$,$2.7257\cdot10^{-1}$
$52$,$2.4000\cdot10^{-8}$,$1.2718\cdot10^{-6}$,$6.7387\cdot10^{-5}$,$3.5708\cdot10^{-3}$,$1.8922\cdot10^{-1}$
$53$,$1.5436\cdot10^{-8}$,$8.3334\cdot10^{-7}$,$4.4992\cdot10^{-5}$,$2.4291\cdot10^{-3}$,$1.3115\cdot10^{-1}$
$54$,$9.9166\cdot10^{-9}$,$5.4531\cdot10^{-7}$,$2.9987\cdot10^{-5}$,$1.6490\cdot10^{-3}$,$9.0677\cdot10^{-2}$
$55$,$6.3657\cdot10^{-9}$,$3.5642\cdot10^{-7}$,$1.9956\cdot10^{-5}$,$1.1174\cdot10^{-3}$,$6.2561\cdot10^{-2}$
$56$,$4.0817\cdot10^{-9}$,$2.3262\cdot10^{-7}$,$1.3257\cdot10^{-5}$,$7.5552\cdot10^{-4}$,$4.3058\cdot10^{-2}$
$57$,$2.6139\cdot10^{-9}$,$1.5159\cdot10^{-7}$,$8.7904\cdot10^{-6}$,$5.0977\cdot10^{-4}$,$2.9562\cdot10^{-2}$
$58$,$1.6862\cdot10^{-9}$,$9.9466\cdot10^{-8}$,$5.8676\cdot10^{-6}$,$3.4614\cdot10^{-4}$,$2.0420\cdot10^{-2}$
$59$,$1.5766\cdot10^{-9}$,$1.3377\cdot10^{-7}$,$1.1357\cdot10^{-5}$,$9.6446\cdot10^{-4}$,$8.1931\cdot10^{-2}$
$85$,$2.4408\cdot10^{-10}$,$2.3188\cdot10^{-8}$,$2.2029\cdot10^{-6}$,$2.0927\cdot10^{-4}$,$1.9881\cdot10^{-2}$
$95$,$2.4920\cdot10^{-10}$,$2.4920\cdot10^{-8}$,$2.4920\cdot10^{-6}$,$2.4920\cdot10^{-4}$,$2.4920\cdot10^{-2}$
$100$,$4.9060\cdot10^{-10}$,$9.8120\cdot10^{-8}$,$1.9624\cdot10^{-5}$,$3.9248\cdot10^{-3}$,$7.8496\cdot10^{-1}$
$200$,$6.5447\cdot10^{-10}$,$1.9634\cdot10^{-7}$,$5.8902\cdot10^{-5}$,$1.7671\cdot10^{-2}$,$5.3012\cdot10^{0}$
$300$,$8.3609\cdot10^{-10}$,$3.3444\cdot10^{-7}$,$1.3378\cdot10^{-4}$,$5.3510\cdot10^{-2}$,$2.1404\cdot10^{1}$
$400$,$1.0200\cdot10^{-9}$,$5.0996\cdot10^{-7}$,$2.5498\cdot10^{-4}$,$1.2749\cdot10^{-1}$,$6.3745\cdot10^{1}$
$500$,$1.2000\cdot10^{-9}$,$7.1995\cdot10^{-7}$,$4.3197\cdot10^{-4}$,$2.5919\cdot10^{-1}$,$1.5551\cdot10^{2}$
$600$,$1.3923\cdot10^{-9}$,$9.7459\cdot10^{-7}$,$6.8221\cdot10^{-4}$,$4.7755\cdot10^{-1}$,$3.3429\cdot10^{2}$
$700$,$1.5812\cdot10^{-9}$,$1.2650\cdot10^{-6}$,$1.0120\cdot10^{-3}$,$8.0955\cdot10^{-1}$,$6.4764\cdot10^{2}$
$800$,$1.7704\cdot10^{-9}$,$1.5934\cdot10^{-6}$,$1.4341\cdot10^{-3}$,$1.2907\cdot10^{0}$,$1.1616\cdot10^{3}$
$900$,$1.9599\cdot10^{-9}$,$1.9599\cdot10^{-6}$,$1.9599\cdot10^{-3}$,$1.9599\cdot10^{0}$,$1.9599\cdot10^{3}$
$1000$,$2.9213\cdot10^{-9}$,$4.3819\cdot10^{-6}$,$6.5729\cdot10^{-3}$,$9.8593\cdot10^{0}$,$1.4789\cdot10^{4}$
$1500$,$3.0989\cdot10^{-9}$,$4.9582\cdot10^{-6}$,$7.9331\cdot10^{-3}$,$1.2693\cdot10^{1}$,$2.0309\cdot10^{4}$
$1600$,$3.2797\cdot10^{-9}$,$5.5755\cdot10^{-6}$,$9.4783\cdot10^{-3}$,$1.6114\cdot10^{1}$,$2.7393\cdot10^{4}$
$1700$,$3.3247\cdot10^{-9}$,$5.7351\cdot10^{-6}$,$9.8929\cdot10^{-3}$,$1.7066\cdot10^{1}$,$2.9438\cdot10^{4}$
$1725$,$3.3721\cdot10^{-9}$,$5.9012\cdot10^{-6}$,$1.0327\cdot10^{-2}$,$1.8073\cdot10^{1}$,$3.1627\cdot10^{4}$
$1750$,$3.4195\cdot10^{-9}$,$6.0696\cdot10^{-6}$,$1.0774\cdot10^{-2}$,$1.9123\cdot10^{1}$,$3.3944\cdot10^{4}$
$1775$,$3.4669\cdot10^{-9}$,$6.2404\cdot10^{-6}$,$1.1233\cdot10^{-2}$,$2.0219\cdot10^{1}$,$3.6394\cdot10^{4}$
